L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
37.9565,30.2005,53.271,0.489593,1.2992,1.24083,84.3976,0.00476395,6.91884,7.00832,34.6991,0.462761,0.565435,0.561505,8.35379,0.00118682,2.12078,1.51267,19.4498,3.75687
37.9573,30.2014,53.2714,0.607597,1.29863,1.24019,84.4163,0.00286046,6.91968,7.0092,34.6995,0.580765,0.564859,0.560869,8.37253,0.000577756,2.1204,1.51118,19.4151,3.7477
37.955,30.1991,53.2709,0.516955,1.29876,1.24049,84.406,0.00443572,6.91734,7.00685,34.699,0.490123,0.564994,0.561168,8.36221,0.00169128,2.1206,1.51237,19.4331,3.75502
37.9565,30.2006,53.2701,0.608079,1.29818,1.24007,84.3678,0.00391667,6.91888,7.00836,34.6982,0.581248,0.564417,0.560754,8.32395,0.00181054,2.12157,1.51121,19.5136,3.74789
37.9543,30.1984,53.2709,0.588371,1.29793,1.23963,84.4007,0.00517968,6.91666,7.0062,34.6991,0.561539,0.564162,0.560305,8.35692,0.00192522,2.12075,1.5115,19.4469,3.74966
37.9574,30.2015,53.2704,0.56464,1.2977,1.23956,84.3596,0.00577349,6.91975,7.00929,34.6986,0.537809,0.563931,0.560244,8.31578,0.00193362,2.12175,1.51173,19.5323,3.75104
37.9569,30.2009,53.2707,0.573745,1.29835,1.24011,84.4128,0.00459956,6.91921,7.00873,34.6988,0.546913,0.564583,0.560788,8.36903,0.00162954,2.12045,1.51162,19.4209,3.75041
37.9562,30.2002,53.2714,0.540896,1.29892,1.24045,84.4146,0.00499247,6.91858,7.00805,34.6996,0.514064,0.565153,0.561127,8.37079,0.000703909,2.12038,1.51204,19.4173,3.75296
37.9564,30.2004,53.2706,0.517527,1.2981,1.23985,84.4082,0.00569438,6.91872,7.00823,34.6987,0.490696,0.564331,0.560533,8.3644,0.00184355,2.12055,1.51233,19.431,3.75478
37.9564,30.2004,53.271,0.553571,1.29757,1.23926,84.4163,0.00299653,6.91873,7.00824,34.6992,0.526739,0.563804,0.55994,8.37252,0.000658764,2.12044,1.51188,19.4191,3.752
37.9578,30.2018,53.2705,0.588798,1.29857,1.24044,84.3663,0.00396889,6.92014,7.00963,34.6986,0.561967,0.564808,0.56112,8.3225,0.00162503,2.12159,1.51142,19.5154,3.74914
37.9555,30.1996,53.2709,0.507708,1.29822,1.23991,84.3901,0.00475302,6.91789,7.00742,34.6991,0.480876,0.564457,0.560587,8.3463,0.00153433,2.12101,1.51247,19.4684,3.75563
37.9562,30.2003,53.2703,0.552118,1.29824,1.24016,84.3887,0.00301504,6.91856,7.00807,34.6984,0.525286,0.564474,0.560843,8.34488,0.000700894,2.12108,1.51191,19.4724,3.75219
37.9558,30.1999,53.2707,0.522793,1.29864,1.24041,84.3645,0.00339413,6.91818,7.00771,34.6989,0.495962,0.564876,0.561092,8.32073,0.00184891,2.12164,1.51228,19.5185,3.75445
37.9543,30.1983,53.2707,0.550258,1.299,1.2407,84.4164,0.00507847,6.91661,7.0061,34.6989,0.523427,0.565235,0.561376,8.37254,0.00155153,2.12032,1.51198,19.4113,3.7526
37.9568,30.2009,53.2714,0.568663,1.29931,1.24082,84.4132,0.00402367,6.91917,7.00866,34.6996,0.541831,0.565547,0.561496,8.36937,0.00138098,2.12042,1.51168,19.4173,3.75075
37.9576,30.2017,53.2701,0.545533,1.29888,1.2408,84.3713,0.00615136,6.92,7.00953,34.6982,0.518701,0.565117,0.561478,8.32753,0.00208593,2.1214,1.51196,19.5027,3.75249
37.956,30.2001,53.2704,0.532603,1.29847,1.24037,84.3645,0.00553368,6.91838,7.00791,34.6986,0.505771,0.564708,0.56105,8.32071,0.00190558,2.1216,1.51216,19.5188,3.75369
