1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.002579,-0.042498,-0.023473,-0.091072,-0.036716,-0.069872,-0.098756,0.010093,0.492442,0.553434,0.517321,0.574894,0.557317,0.566900,0.685989,0.579579
-0.015837,-0.038219,-0.023583,-0.090244,-0.038766,-0.071163,-0.100059,0.012346,0.492957,0.552824,0.518460,0.575803,0.556576,0.568057,0.687328,0.578551
-0.015293,-0.043897,-0.025673,-0.092299,-0.037073,-0.070966,-0.100025,0.011600,0.493131,0.553833,0.520217,0.583970,0.557492,0.565298,0.686671,0.578621
-0.017239,-0.046036,-0.024373,-0.092730,-0.038584,-0.071620,-0.100274,0.012052,0.491431,0.557171,0.520199,0.580464,0.558834,0.566724,0.686221,0.577360
-0.014146,-0.038629,-0.026769,-0.092748,-0.037692,-0.070147,-0.101649,0.011814,0.499887,0.557820,0.519273,0.578784,0.558357,0.567317,0.684056,0.579610
-0.019904,-0.043953,-0.023961,-0.091909,-0.039524,-0.071271,-0.102785,0.011638,0.490052,0.557131,0.517482,0.576914,0.560458,0.567566,0.683959,0.579965
-0.015216,-0.045115,-0.027482,-0.098726,-0.040675,-0.069869,-0.103024,0.013262,0.494588,0.556668,0.520101,0.584140,0.561575,0.566621,0.685703,0.576747
-0.009902,-0.039154,-0.027631,-0.092508,-0.039783,-0.069276,-0.103895,0.011018,0.480178,0.552743,0.520212,0.580424,0.561724,0.564409,0.687514,0.577770
-0.010593,-0.041188,-0.025385,-0.092750,-0.040339,-0.070969,-0.102533,0.011673,0.495334,0.554763,0.517431,0.582790,0.560811,0.565833,0.686649,0.576762
-0.015265,-0.041273,-0.023412,-0.089686,-0.039471,-0.071051,-0.103165,0.011633,0.499576,0.556743,0.515177,0.578062,0.560338,0.564565,0.685903,0.578626
-0.023000,-0.044348,-0.025332,-0.091808,-0.041040,-0.070487,-0.102700,0.012162,0.503807,0.558173,0.518059,0.578041,0.560732,0.565735,0.687084,0.578980
-0.020840,-0.042280,-0.025616,-0.094146,-0.041385,-0.071052,-0.103550,0.011869,0.494384,0.554319,0.519246,0.581359,0.562817,0.565592,0.686000,0.579755
-0.017870,-0.049690,-0.024991,-0.097337,-0.041475,-0.067758,-0.104418,0.012307,0.500547,0.557465,0.518828,0.584083,0.565775,0.565035,0.687217,0.578234
-0.021364,-0.040998,-0.023367,-0.094071,-0.040400,-0.068729,-0.105723,0.013032,0.496958,0.555404,0.518618,0.580743,0.564399,0.565503,0.687259,0.577587
-0.018888,-0.045930,-0.025145,-0.095266,-0.042155,-0.068438,-0.104900,0.011239,0.499211,0.554952,0.520274,0.581658,0.562737,0.566368,0.686687,0.578199
-0.006020,-0.044553,-0.024038,-0.093381,-0.040583,-0.069508,-0.105345,0.012802,0.494606,0.551587,0.519998,0.579916,0.562028,0.568572,0.687541,0.577458
-0.014110,-0.039718,-0.025841,-0.095670,-0.041423,-0.070725,-0.105874,0.012437,0.492360,0.552073,0.520781,0.580505,0.565722,0.567627,0.689151,0.578104
-0.010723,-0.037613,-0.023236,-0.094844,-0.042795,-0.069048,-0.105880,0.011762,0.498214,0.550770,0.519346,0.578185,0.568573,0.565702,0.686680,0.578657
-0.011042,-0.045771,-0.027061,-0.096469,-0.041865,-0.067429,-0.107176,0.011911,0.501818,0.554814,0.519495,0.580055,0.568466,0.566415,0.686404,0.577027
-0.017096,-0.042983,-0.024356,-0.095268,-0.044295,-0.070310,-0.106030,0.010764,0.493156,0.557970,0.518267,0.581518,0.572155,0.568559,0.685982,0.577966
-0.011406,-0.038435,-0.024778,-0.095859,-0.043390,-0.072417,-0.105566,0.012202,0.496629,0.553000,0.518641,0.581834,0.569004,0.568117,0.687335,0.576442
-0.018288,-0.045416,-0.023469,-0.094564,-0.042861,-0.070609,-0.106971,0.013266,0.496345,0.554746,0.516346,0.586421,0.567082,0.565390,0.686940,0.575516
-0.011023,-0.039735,-0.026136,-0.101582,-0.045395,-0.069374,-0.109536,0.013864,0.495826,0.553322,0.518570,0.589092,0.570480,0.566211,0.688009,0.574356
-0.013236,-0.042321,-0.024951,-0.098186,-0.043255,-0.071716,-0.109316,0.012923,0.497617,0.552827,0.518559,0.585401,0.571016,0.564506,0.688756,0.578319
-0.013655,-0.042556,-0.020936,-0.095812,-0.045533,-0.066282,-0.107704,0.012268,0.497741,0.555528,0.518352,0.587499,0.570284,0.563856,0.687955,0.577137
-0.016275,-0.041946,-0.025004,-0.099698,-0.042365,-0.066988,-0.110069,0.011723,0.502214,0.555566,0.517701,0.586915,0.573902,0.565490,0.687063,0.577385
-0.006445,-0.044394,-0.029348,-0.098475,-0.044403,-0.067341,-0.109429,0.011868,0.497457,0.556074,0.519474,0.590056,0.571649,0.567353,0.685599,0.576252
-0.014944,-0.046685,-0.026831,-0.100961,-0.043774,-0.070443,-0.107847,0.012835,0.488092,0.559359,0.519020,0.590568,0.571890,0.567260,0.685750,0.576619
-0.011430,-0.041522,-0.023615,-0.099180,-0.045046,-0.069952,-0.108037,0.013020,0.496399,0.556106,0.518295,0.591762,0.569643,0.570261,0.687094,0.577408
-0.019223,-0.042929,-0.024363,-0.098755,-0.044424,-0.068562,-0.108165,0.013364,0.491071,0.553323,0.519410,0.591523,0.570080,0.568413,0.686459,0.576169
-0.012122,-0.045075,-0.026189,-0.098872,-0.046133,-0.068771,-0.109211,0.013611,0.493161,0.556002,0.517887,0.589643,0.573641,0.569273,0.686481,0.576365
-0.020771,-0.046030,-0.025588,-0.103970,-0.047845,-0.068860,-0.109273,0.013306,0.502036,0.558196,0.517869,0.592430,0.578255,0.567886,0.686089,0.575776
-0.015368,-0.041054,-0.024367,-0.101894,-0.046011,-0.070269,-0.110222,0.013570,0.505472,0.552448,0.518340,0.592795,0.580671,0.569905,0.687909,0.575511
-0.017058,-0.043828,-0.025530,-0.102139,-0.047761,-0.069630,-0.108541,0.013580,0.503181,0.554029,0.519658,0.589494,0.577790,0.566844,0.689199,0.575745
-0.017532,-0.037938,-0.025147,-0.100603,-0.047054,-0.070630,-0.110595,0.015594,0.496415,0.550559,0.519915,0.585434,0.576586,0.569826,0.687513,0.573887
-0.011034,-0.042526,-0.023855,-0.100806,-0.046085,-0.070446,-0.111908,0.013942,0.498624,0.554563,0.520279,0.587855,0.575324,0.570654,0.687717,0.575065
-0.008572,-0.041376,-0.025736,-0.100859,-0.044733,-0.068748,-0.111831,0.013856,0.494981,0.554163,0.520206,0.590974,0.573998,0.568758,0.688889,0.574882
-0.019185,-0.039763,-0.029161,-0.106195,-0.045372,-0.068653,-0.110751,0.013577,0.492979,0.556371,0.520507,0.599023,0.575505,0.568675,0.687594,0.575022
-0.014730,-0.037978,-0.025883,-0.103198,-0.044242,-0.067721,-0.111419,0.015175,0.493266,0.551620,0.520652,0.593881,0.574825,0.570225,0.686393,0.574767
-0.005801,-0.038603,-0.026652,-0.105162,-0.047851,-0.070516,-0.110054,0.014725,0.503736,0.552466,0.519947,0.597587,0.573792,0.570192,0.687769,0.575438
-0.010018,-0.044293,-0.027346,-0.105771,-0.046537,-0.072117,-0.110155,0.012956,0.499946,0.554058,0.519588,0.595005,0.572306,0.574246,0.686168,0.577025
-0.012860,-0.041880,-0.025628,-0.103556,-0.047816,-0.069475,-0.111570,0.014101,0.499343,0.559143,0.519071,0.593560,0.579480,0.570401,0.688645,0.576020
-0.015161,-0.038875,-0.024947,-0.101942,-0.045981,-0.069384,-0.111290,0.014562,0.500264,0.556285,0.520074,0.595424,0.574379,0.570369,0.687268,0.576007
-0.012199,-0.039950,-0.025731,-0.101656,-0.049006,-0.069384,-0.111844,0.013769,0.502963,0.553403,0.520534,0.596968,0.580558,0.569996,0.689392,0.575669
-0.012486,-0.036024,-0.025952,-0.104593,-0.049150,-0.069751,-0.111440,0.014680,0.497902,0.553550,0.520371,0.598828,0.579489,0.570407,0.687655,0.573235
-0.018952,-0.038780,-0.024628,-0.106667,-0.047231,-0.069629,-0.111955,0.014299,0.503845,0.556287,0.520412,0.603986,0.579422,0.570990,0.686704,0.574908
-0.018083,-0.042557,-0.024184,-0.104408,-0.045774,-0.069954,-0.111534,0.014795,0.488779,0.555155,0.521742,0.597366,0.579249,0.571524,0.687762,0.574279
-0.007592,-0.041643,-0.025426,-0.106107,-0.046764,-0.067327,-0.113506,0.013745,0.499519,0.554573,0.521226,0.597075,0.579486,0.570568,0.688514,0.574973
-0.011679,-0.039595,-0.025486,-0.103042,-0.049204,-0.070292,-0.113942,0.014170,0.492696,0.553044,0.522958,0.593977,0.576418,0.572425,0.686971,0.575197
-0.021379,-0.043427,-0.025547,-0.100312,-0.046695,-0.069301,-0.113681,0.014072,0.495820,0.554165,0.521167,0.593350,0.576459,0.571390,0.690187,0.575508
-0.019074,-0.038247,-0.027987,-0.104303,-0.047323,-0.068363,-0.114600,0.014500,0.499036,0.551137,0.521771,0.596651,0.577280,0.570485,0.688345,0.575618
-0.018507,-0.042234,-0.027521,-0.103584,-0.047508,-0.070159,-0.114674,0.012952,0.496813,0.553288,0.521447,0.596174,0.578370,0.573907,0.688430,0.574898
-0.022042,-0.046272,-0.028337,-0.110407,-0.048618,-0.070234,-0.115414,0.014090,0.496491,0.551404,0.521648,0.600205,0.578060,0.573569,0.688444,0.574805
-0.009450,-0.037727,-0.024773,-0.107583,-0.046680,-0.067269,-0.114319,0.013660,0.496409,0.554026,0.521341,0.601644,0.576412,0.571393,0.688249,0.575213
-0.012749,-0.042348,-0.026102,-0.104322,-0.049445,-0.068531,-0.113429,0.013997,0.490226,0.552346,0.520778,0.597517,0.581160,0.569881,0.689292,0.576308
-0.016188,-0.044055,-0.025719,-0.104331,-0.050862,-0.068482,-0.113522,0.015302,0.502818,0.553011,0.521811,0.594505,0.578826,0.568611,0.688673,0.574951
-0.022580,-0.039435,-0.026678,-0.104474,-0.048185,-0.068691,-0.114628,0.015115,0.499970,0.554945,0.522089,0.602265,0.576411,0.571142,0.688155,0.574571
-0.016939,-0.043036,-0.030572,-0.109893,-0.045949,-0.068988,-0.114206,0.015001,0.494966,0.550492,0.523082,0.604274,0.574830,0.572074,0.687269,0.574012
-0.017752,-0.037796,-0.028944,-0.110113,-0.043422,-0.067402,-0.114703,0.013903,0.496035,0.553908,0.523110,0.604574,0.574940,0.571160,0.688644,0.574601
-0.018093,-0.043945,-0.030058,-0.108554,-0.046033,-0.069343,-0.115214,0.015113,0.495980,0.554251,0.523551,0.602273,0.575300,0.572046,0.687487,0.574183
-0.014078,-0.036957,-0.027398,-0.109116,-0.048060,-0.067298,-0.115008,0.014537,0.499140,0.553085,0.522173,0.600609,0.575578,0.571469,0.687046,0.572705
-0.014948,-0.042639,-0.028897,-0.107129,-0.047211,-0.069784,-0.114221,0.015046,0.498501,0.551065,0.522730,0.600332,0.576870,0.573654,0.687099,0.572710
-0.012080,-0.043891,-0.028101,-0.108093,-0.048211,-0.069150,-0.115187,0.014657,0.504324,0.555021,0.522498,0.598704,0.577412,0.574217,0.689176,0.574608
-0.020828,-0.043067,-0.026556,-0.107115,-0.048215,-0.070311,-0.113381,0.014026,0.504791,0.555590,0.523544,0.599018,0.573541,0.575527,0.687319,0.573977
-0.021191,-0.039912,-0.028585,-0.102208,-0.048206,-0.067922,-0.115874,0.012633,0.500729,0.554390,0.522119,0.597752,0.578805,0.573337,0.687904,0.575789
-0.010682,-0.046627,-0.025838,-0.110366,-0.047224,-0.072353,-0.114791,0.013889,0.498580,0.554065,0.523160,0.599719,0.575626,0.573676,0.689489,0.573763
-0.014372,-0.043557,-0.027738,-0.106494,-0.046492,-0.071136,-0.115888,0.014043,0.497237,0.557011,0.521274,0.598002,0.572090,0.574712,0.688520,0.573772
-0.015502,-0.037133,-0.024876,-0.109765,-0.047710,-0.067533,-0.116917,0.013916,0.499471,0.556148,0.521420,0.600308,0.576105,0.572556,0.687025,0.573010
-0.013382,-0.043555,-0.028116,-0.107687,-0.045684,-0.067586,-0.115285,0.014070,0.501852,0.556146,0.521772,0.599958,0.572730,0.573962,0.687973,0.573965
-0.009782,-0.042444,-0.025769,-0.107635,-0.045723,-0.066394,-0.118146,0.014006,0.497904,0.553625,0.522233,0.599268,0.574767,0.573046,0.688820,0.573942
-0.020935,-0.039228,-0.027044,-0.107029,-0.048019,-0.068151,-0.117450,0.014024,0.505244,0.551435,0.523907,0.598261,0.576301,0.574295,0.688931,0.573818
-0.018232,-0.036995,-0.028217,-0.108499,-0.048214,-0.069019,-0.117484,0.014830,0.499459,0.551749,0.522420,0.601695,0.578725,0.572315,0.688034,0.572572
-0.018921,-0.039332,-0.028870,-0.105193,-0.049512,-0.066516,-0.118550,0.015514,0.496670,0.552976,0.522356,0.600662,0.579554,0.572681,0.688210,0.572613
-0.011505,-0.039570,-0.026061,-0.107970,-0.047238,-0.070059,-0.118127,0.014494,0.490363,0.551027,0.522135,0.604286,0.577109,0.574993,0.689608,0.573869
-0.016333,-0.041054,-0.025591,-0.104714,-0.045370,-0.070001,-0.119307,0.014866,0.493005,0.553186,0.522128,0.599320,0.574138,0.575493,0.688502,0.575378
-0.007345,-0.038412,-0.029065,-0.104895,-0.045488,-0.070659,-0.118750,0.015832,0.496027,0.550941,0.524759,0.600421,0.572684,0.574261,0.688168,0.574969
0.001430,-0.048787,-0.026157,-0.105628,-0.045907,-0.068487,-0.118407,0.014217,0.494020,0.554280,0.523657,0.598692,0.571864,0.577909,0.688030,0.574995
-0.018678,-0.035632,-0.028700,-0.107971,-0.047928,-0.070458,-0.118539,0.014755,0.496978,0.554795,0.525169,0.603669,0.571959,0.576116,0.688651,0.573845
-0.012163,-0.038783,-0.030249,-0.111754,-0.047684,-0.068197,-0.118058,0.013332,0.498755,0.550610,0.524467,0.603307,0.573217,0.577150,0.688947,0.577054
-0.021263,-0.040988,-0.025857,-0.106085,-0.049147,-0.071358,-0.117409,0.015602,0.495874,0.553958,0.522223,0.601216,0.574784,0.579268,0.687813,0.574008
-0.013793,-0.040131,-0.024208,-0.110760,-0.050491,-0.071453,-0.118844,0.015756,0.506576,0.552661,0.522702,0.598932,0.575648,0.579322,0.690070,0.573648
-0.009851,-0.040467,-0.028033,-0.107195,-0.048530,-0.068707,-0.119179,0.015690,0.499838,0.551605,0.522778,0.602346,0.574599,0.575801,0.689153,0.575112
-0.006473,-0.041536,-0.025754,-0.111373,-0.048177,-0.067778,-0.119170,0.015027,0.496736,0.554074,0.522948,0.602222,0.576684,0.574647,0.688374,0.574936
-0.017413,-0.039922,-0.023848,-0.112002,-0.046128,-0.068254,-0.118319,0.014670,0.492019,0.552947,0.521785,0.599096,0.575892,0.574798,0.687464,0.575700
-0.023697,-0.040040,-0.028904,-0.107470,-0.051244,-0.069520,-0.119014,0.015363,0.497121,0.552009,0.523527,0.600795,0.577683,0.576451,0.686271,0.574769
-0.013745,-0.046670,-0.027011,-0.109578,-0.048895,-0.069455,-0.119564,0.014593,0.503316,0.556231,0.523323,0.603583,0.577236,0.573982,0.688340,0.572998
-0.012164,-0.036288,-0.025869,-0.107784,-0.049647,-0.067931,-0.118703,0.014969,0.502054,0.553999,0.522251,0.599069,0.575071,0.578304,0.688863,0.574655
-0.012379,-0.039601,-0.028738,-0.109970,-0.046838,-0.066658,-0.119047,0.016689,0.500655,0.555860,0.523580,0.600650,0.575010,0.575796,0.689103,0.573291
-0.015434,-0.039376,-0.027226,-0.107877,-0.049451,-0.066934,-0.118845,0.014459,0.505365,0.551161,0.523845,0.599572,0.575103,0.574862,0.688954,0.574549
-0.013618,-0.043185,-0.029406,-0.109098,-0.045540,-0.069496,-0.119194,0.014864,0.505136,0.551983,0.526556,0.606644,0.571637,0.576113,0.688366,0.574640
-0.013317,-0.041792,-0.027227,-0.109737,-0.047359,-0.070508,-0.118699,0.015356,0.498606,0.550538,0.526695,0.605725,0.574918,0.576391,0.687588,0.574303
-0.016013,-0.034742,-0.026172,-0.107400,-0.048276,-0.068347,-0.119873,0.014372,0.505482,0.552456,0.525468,0.601122,0.576585,0.575155,0.689431,0.574817
-0.015042,-0.041419,-0.027483,-0.108504,-0.050005,-0.069804,-0.119496,0.013792,0.504912,0.554697,0.524869,0.601370,0.577189,0.575957,0.687269,0.575763
-0.019620,-0.045280,-0.023372,-0.108094,-0.046389,-0.068185,-0.120615,0.014193,0.496778,0.554340,0.524026,0.602260,0.575097,0.575058,0.689125,0.575835
-0.018960,-0.044796,-0.024846,-0.106122,-0.048520,-0.069245,-0.118668,0.014667,0.503740,0.556752,0.525771,0.604407,0.575485,0.575526,0.686608,0.576669
-0.015025,-0.039290,-0.027781,-0.111145,-0.052197,-0.070634,-0.120589,0.014516,0.495555,0.555410,0.525086,0.605094,0.575216,0.578573,0.688127,0.575862
-0.008003,-0.037701,-0.028499,-0.106741,-0.047842,-0.070200,-0.120811,0.014308,0.496462,0.555271,0.524625,0.601224,0.571188,0.578122,0.687675,0.577910
-0.012998,-0.038257,-0.027575,-0.110570,-0.048039,-0.068711,-0.120634,0.012499,0.496664,0.556090,0.525003,0.604522,0.570607,0.577800,0.687709,0.577732
-0.007181,-0.037911,-0.027424,-0.111263,-0.046168,-0.066853,-0.121788,0.014537,0.494809,0.555670,0.526103,0.601126,0.571476,0.578560,0.688536,0.577121
-0.020960,-0.041579,-0.026810,-0.107137,-0.050315,-0.067881,-0.122275,0.014362,0.503513,0.556634,0.525258,0.601265,0.573357,0.577193,0.689502,0.574604
-0.013864,-0.039806,-0.027135,-0.109515,-0.048318,-0.065537,-0.122527,0.013970,0.500591,0.555470,0.522686,0.601546,0.570457,0.577483,0.688950,0.575261
-0.022122,-0.039923,-0.027147,-0.113886,-0.046505,-0.066431,-0.121868,0.014390,0.503536,0.555221,0.525708,0.604791,0.570338,0.579554,0.690015,0.574987
