1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.001067,0.001351,-0.000893,-0.000157,0.000071,0.000168,0.000016,0.000000,0.029696,0.023088,0.023863,0.019049,0.016665,0.015880,0.007509,0.011817
0.001175,0.001558,-0.000212,0.000262,0.000215,-0.000197,0.000010,-0.000018,0.030033,0.024862,0.022193,0.021265,0.018630,0.010147,0.006109,0.010752
0.004648,-0.001258,0.000307,0.000195,0.000315,0.000272,0.000008,0.000244,0.035615,0.024013,0.018082,0.019399,0.018280,0.018579,0.005447,0.014298
0.002875,0.000984,-0.000163,0.000167,0.000176,0.000096,-0.000016,-0.000067,0.028525,0.018989,0.016523,0.016347,0.014736,0.011684,0.005816,0.011605
0.000995,0.001188,-0.000164,-0.000049,-0.000020,0.000426,0.000014,-0.000024,0.029964,0.019331,0.023963,0.018103,0.019584,0.019059,0.005122,0.009998
0.000090,0.001184,0.000303,0.000168,0.000168,-0.000025,-0.000000,0.000055,0.029829,0.020967,0.018923,0.018758,0.014010,0.016839,0.005992,0.007123
0.002821,0.001359,0.000341,0.000071,0.000171,0.000169,0.000004,-0.000214,0.028826,0.019538,0.016932,0.020280,0.017688,0.018775,0.007216,0.011895
0.001194,0.000116,0.000532,0.000170,0.000288,-0.000003,-0.000000,-0.000067,0.027208,0.018139,0.017815,0.020615,0.017478,0.016080,0.007503,0.009707
0.000452,-0.002866,0.000489,-0.000621,0.000015,-0.000225,-0.000012,0.000116,0.024819,0.024920,0.024011,0.019175,0.014990,0.017442,0.007014,0.012491
0.000904,0.000085,-0.000986,0.000198,-0.000185,-0.000063,0.000015,-0.000116,0.029222,0.017921,0.024308,0.014209,0.018473,0.012447,0.008191,0.010927
-0.002025,-0.001063,0.000030,-0.000159,-0.000030,0.000056,0.000065,-0.000439,0.028932,0.024889,0.022649,0.013956,0.014089,0.018719,0.007531,0.013581
-0.005208,0.000062,-0.000512,-0.000145,-0.000233,-0.000146,-0.000014,0.000464,0.028372,0.020916,0.018259,0.017123,0.016242,0.011557,0.005573,0.010101
-0.000253,0.000705,0.000582,0.000155,-0.000020,0.000052,0.000036,-0.000092,0.028530,0.018298,0.024614,0.013675,0.018024,0.017997,0.007671,0.010644
-0.007017,-0.001194,0.000204,-0.000465,-0.000646,-0.000355,0.000007,-0.000024,0.032677,0.024067,0.021134,0.017770,0.020244,0.015966,0.007932,0.009844
0.000145,-0.000796,0.000373,0.000311,0.000190,0.000308,0.000025,0.000037,0.029505,0.026916,0.017014,0.021246,0.018042,0.015913,0.005676,0.010261
0.000778,0.001114,-0.000387,-0.000322,0.000045,-0.000187,0.000056,-0.000085,0.028895,0.021088,0.022798,0.015806,0.018921,0.017698,0.005632,0.007763
0.004033,-0.000191,-0.000174,0.000120,-0.000121,0.000015,0.000001,0.000012,0.031981,0.025522,0.023077,0.018902,0.016832,0.015439,0.006066,0.009244
-0.005823,0.000802,-0.000163,0.000271,0.000073,0.000178,0.000029,0.000275,0.030299,0.018644,0.018767,0.018166,0.018320,0.017593,0.006765,0.011732
0.000524,0.000482,-0.000242,0.000371,0.000292,0.000443,0.000017,-0.000330,0.028979,0.023676,0.022625,0.018321,0.014669,0.016432,0.006502,0.009800
-0.000633,0.002195,0.000119,0.000452,0.000043,0.000021,0.000010,0.000098,0.031158,0.022167,0.023853,0.015007,0.016492,0.011396,0.004860,0.008332
-0.001465,0.001019,0.000114,0.000131,0.000154,0.000511,-0.000001,0.000061,0.027912,0.018057,0.014041,0.012780,0.012604,0.017058,0.007591,0.010187
-0.002297,0.001209,0.000122,0.000243,0.000204,0.000019,-0.000026,0.000153,0.032675,0.016405,0.021454,0.021584,0.014615,0.012977,0.007639,0.010572
0.008156,0.000048,0.000028,0.000295,0.000242,-0.000009,0.000024,-0.000244,0.033895,0.017724,0.017278,0.018806,0.018000,0.016231,0.006153,0.010369
-0.000850,0.000246,0.000044,0.000075,0.000023,-0.000109,0.000044,0.000031,0.023498,0.026021,0.023731,0.016183,0.017138,0.014666,0.007328,0.012613
0.001483,0.002588,-0.000210,0.000330,0.000219,0.000095,0.000006,0.000592,0.025073,0.020930,0.020972,0.012479,0.013241,0.013483,0.004611,0.011016
-0.003870,-0.002218,0.000341,0.000116,-0.000055,-0.000017,0.000002,-0.000018,0.029018,0.025464,0.023522,0.020233,0.018618,0.017409,0.004948,0.009224
